descrip,seriesID,date,cpi-value
Housing,CUURA316SAH,April-1990,112.2
Housing,CUURA316SAH,June-1990,114.0
Housing,CUURA316SAH,August-1990,116.1
Housing,CUURA316SAH,October-1990,118.3
Housing,CUURA316SAH,December-1990,114.8
Housing,CUURA316SAH,February-1991,116.8
Housing,CUURA316SAH,April-1991,117.1
Housing,CUURA316SAH,June-1991,117.8
Housing,CUURA316SAH,August-1991,119.1
Housing,CUURA316SAH,October-1991,121.9
Housing,CUURA316SAH,December-1991,120.3
Housing,CUURA316SAH,February-1992,118.4
Housing,CUURA316SAH,April-1992,119.0
Housing,CUURA316SAH,June-1992,123.9
Housing,CUURA316SAH,August-1992,124.9
Housing,CUURA316SAH,October-1992,123.2
Housing,CUURA316SAH,December-1992,121.7
Housing,CUURA316SAH,February-1993,123.9
Housing,CUURA316SAH,April-1993,123.7
Housing,CUURA316SAH,June-1993,123.6
Housing,CUURA316SAH,August-1993,127.6
Housing,CUURA316SAH,October-1993,128.1
Housing,CUURA316SAH,December-1993,126.1
Housing,CUURA316SAH,February-1994,126.6
Housing,CUURA316SAH,April-1994,128.5
Housing,CUURA316SAH,June-1994,129.5
Housing,CUURA316SAH,August-1994,130.1
Housing,CUURA316SAH,October-1994,131.0
Housing,CUURA316SAH,December-1994,128.9
Housing,CUURA316SAH,February-1995,131.6
Housing,CUURA316SAH,April-1995,131.5
Housing,CUURA316SAH,June-1995,131.5
Housing,CUURA316SAH,August-1995,132.6
Housing,CUURA316SAH,October-1995,133.8
Housing,CUURA316SAH,December-1995,132.3
Housing,CUURA316SAH,February-1996,132.2
Housing,CUURA316SAH,April-1996,134.1
Housing,CUURA316SAH,June-1996,136.2
Housing,CUURA316SAH,August-1996,137.5
Housing,CUURA316SAH,October-1996,138.1
Housing,CUURA316SAH,December-1996,136.1
Housing,CUURA316SAH,February-1997,137.9
Housing,CUURA316SAH,April-1997,136.7
Housing,CUURA316SAH,June-1997,139.0
Housing,CUURA316SAH,August-1997,138.2
Housing,CUURA316SAH,October-1997,141.5
Housing,CUURA316SAH,December-1997,140.5
Housing,CUURA316SAH,January-1998,140.6
Housing,CUURA316SAH,March-1998,141.2
Housing,CUURA316SAH,May-1998,141.9
Housing,CUURA316SAH,July-1998,145.2
Housing,CUURA316SAH,September-1998,145.9
Housing,CUURA316SAH,November-1998,143.6
Housing,CUURA316SAH,January-1999,144.6
Housing,CUURA316SAH,March-1999,145.1
Housing,CUURA316SAH,May-1999,145.4
Housing,CUURA316SAH,July-1999,148.7
Housing,CUURA316SAH,September-1999,148.7
Housing,CUURA316SAH,November-1999,147.5
Housing,CUURA316SAH,January-2000,148.3
Housing,CUURA316SAH,March-2000,149.7
Housing,CUURA316SAH,May-2000,150.4
Housing,CUURA316SAH,July-2000,155.1
Housing,CUURA316SAH,September-2000,155.8
Housing,CUURA316SAH,November-2000,154.5
Housing,CUURA316SAH,January-2001,155.4
Housing,CUURA316SAH,March-2001,158.2
Housing,CUURA316SAH,May-2001,157.4
Housing,CUURA316SAH,July-2001,163.5
Housing,CUURA316SAH,September-2001,163.1
Housing,CUURA316SAH,November-2001,162.7
Housing,CUURA316SAH,January-2002,162.4
Housing,CUURA316SAH,March-2002,162.6
Housing,CUURA316SAH,May-2002,162.2
Housing,CUURA316SAH,July-2002,163.0
Housing,CUURA316SAH,September-2002,162.6
Housing,CUURA316SAH,November-2002,161.8
Housing,CUURA316SAH,January-2003,162.9
Housing,CUURA316SAH,March-2003,165.3
Housing,CUURA316SAH,May-2003,166.3
Housing,CUURA316SAH,July-2003,166.9
Housing,CUURA316SAH,September-2003,166.5
Housing,CUURA316SAH,November-2003,164.6
Housing,CUURA316SAH,January-2004,163.2
Housing,CUURA316SAH,March-2004,162.9
Housing,CUURA316SAH,May-2004,163.4
Housing,CUURA316SAH,July-2004,166.6
Housing,CUURA316SAH,September-2004,167.8
Housing,CUURA316SAH,November-2004,166.5
